Page Name,Block
1 Chronicles 1,"24. Shem, Arphaxad, Shelah,"
1 Chronicles 1,"25. Eber, Peleg, Reu,"
1 Chronicles 1,"26. Serug, Nahor, Terah,"
1 Chronicles 1,27. Abram; the same is Abraham.
1 Chronicles 1,"28. The sons of Abraham; Isaac, and Ishmael."
1 Chronicles 1,"29. These are their generations: The firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,"
1 Chronicles 1,"30. Mishma, and Dumah, Massa, Hadad, and Tema,"
1 Chronicles 1,"31. Jetur, Naphish, and Kedemah. These are the sons of Ishmael."
1 Chronicles 1,"32. Now the sons of Keturah, Abraham's concubine: she bare Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan; Sheba, and Dedan."
1 Chronicles 1,"33. And the sons of Midian; Ephah, and Epher, and Henoch, and Abida, and Eldaah. All these are the sons of Keturah."
1 Chronicles 1,34. And Abraham begat Isaac. The sons of Isaac; Esau and Israel.
1 Chronicles 1,"35. The sons of Esau; Eliphaz, Reuel, and Jeush, and Jaalam, and Korah."
1 Chronicles 1,"36. The sons of Eliphaz; Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek."
1 Chronicles 1,"37. The sons of Reuel; Nahath, Zerah, Shammah, and Mizzah."
1 Chronicles 1,"38. And the sons of Seir; Lotan, and Shobal, and Zibeon, and Anah, and Dishon, and Ezar, and Dishan."
1 Chronicles 1,"39. And the sons of Lotan; Hori, and Homam: and Timna was Lotan's sister."
1 Chronicles 1,"40. The sons of Shobal; Alian, and Manahath, and Ebal, Shephi, and Onam. and the sons of Zibeon; Aiah, and Anah."
1 Chronicles 1,"41. The sons of Anah; Dishon. And the sons of Dishon; Amram, and Eshban, and Ithran, and Cheran."
1 Chronicles 1,"42. The sons of Ezer; Bilhan, and Zavan, and Jakan. The sons of Dishan; Uz, and Aran."
1 Chronicles 1,43. Now these are the kings that reigned in the land of Edom before any king reigned over the children of Israel; Bela the son of Beor: and the name of his city was Dinhabah.
1 Chronicles 1,"44. And when Bela was dead, Jobab the son of Zerah of Bozrah reigned in his stead."
1 Chronicles 1,"45. And when Jobab was dead, Husham of the land of the Temanites reigned in his stead."
1 Chronicles 1,"46. And when Husham was dead, Hadad the son of Bedad, which smote Midian in the field of Moab, reigned in his stead: and the name of his city was Avith."
1 Chronicles 1,"47. And when Hadad was dead, Samlah of Masrekah reigned in his stead."
1 Chronicles 1,"48. And when Samlah was dead, Shaul of Rehoboth by the river reigned in his stead."
1 Chronicles 1,"49. And when Shaul was dead, Baalhanan the son of Achbor reigned in his stead."
1 Chronicles 1,"50. And when Baalhanan was dead, Hadad reigned in his stead: and the name of his city was Pai; and his wife's name was Mehetabel, the daughter of Matred, the daughter of Mezahab."
1 Chronicles 1,"51. Hadad died also. And the dukes of Edom were; duke Timnah, duke Aliah, duke Jetheth,"
1 Chronicles 1,"52. Duke Aholibamah, duke Elah, duke Pinon,"
1 Chronicles 1,"53. Duke Kenaz, duke Teman, duke Mibzar,"
1 Chronicles 1,"54. Duke Magdiel, duke Iram. These are the dukes of Edom."
1 Chronicles 2,"1. These are the sons of Israel; Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun,"
1 Chronicles 2,"2. Dan, Joseph, and Benjamin, Naphtali, Gad, and Asher."
1 Chronicles 2,"3. The sons of Judah; Er, and Onan, and Shelah: which three were born unto him of the daughter of Shua the Canaanitess. And Er, the firstborn of Judah, was evil in the sight of the LORD; and he slew him."
1 Chronicles 2,4. And Tamar his daughter in law bore him Pharez and Zerah. All the sons of Judah were five.
1 Chronicles 2,"5. The sons of Pharez; Hezron, and Hamul."
1 Chronicles 2,"6. And the sons of Zerah; Zimri, and Ethan, and Heman, and Calcol, and Dara: five of them in all."
1 Chronicles 2,"7. And the sons of Carmi; Achar, the troubler of Israel, who transgressed in the thing accursed."
1 Chronicles 2,8. And the sons of Ethan; Azariah.
1 Chronicles 2,"9. The sons also of Hezron, that were born unto him; Jerahmeel, and Ram, and Chelubai."
1 Chronicles 2,"10. And Ram begat Amminadab; and Amminadab begat Nahshon, prince of the children of Judah;"
1 Chronicles 2,"11. And Nahshon begat Salma, and Salma begat Boaz,"
1 Chronicles 2,"12. And Boaz begat Obed, and Obed begat Jesse,"
1 Chronicles 2,"13. And Jesse begat his firstborn Eliab, and Abinadab the second, and Shimma the third,"
1 Chronicles 2,"14. Nethaneel the fourth, Raddai the fifth,"
1 Chronicles 2,"15. Ozem the sixth, David the seventh:"
1 Chronicles 2,"16. Whose sisters were Zeruiah, and Abigail. And the sons of Zeruiah; Abishai, and Joab, and Asahel, three."
1 Chronicles 2,17. And Abigail bare Amasa: and the father of Amasa was Jether the Ishmeelite.
1 Chronicles 2,"18. And Caleb the son of Hezron begat children of Azubah his wife, and of Jerioth: her sons are these; Jesher, and Shobab, and Ardon."
1 Chronicles 2,"19. And when Azubah was dead, Caleb took unto him Ephrath, which bare him Hur."
1 Chronicles 2,"20. And Hur begat Uri, and Uri begat Bezaleel."
1 Chronicles 2,"21. And afterward Hezron went in to the daughter of Machir the father of Gilead, whom he married when he was threescore years old; and she bare him Segub."
1 Chronicles 2,"22. And Segub begat Jair, who had three and twenty cities in the land of Gilead."
1 Chronicles 2,"23. And he took Geshur, and Aram, with the towns of Jair, from them, with Kenath, and the towns thereof, even threescore cities. All these belonged to the sons of Machir the father of Gilead."
1 Chronicles 2,"24. And after that Hezron was dead in Calebephratah, then Abiah Hezron's wife bare him Ashur the father of Tekoa."
1 Chronicles 2,"25. And the sons of Jerahmeel the firstborn of Hezron were, Ram the firstborn, and Bunah, and Oren, and Ozem, and Ahijah."
1 Chronicles 2,"26. Jerahmeel had also another wife, whose name was Atarah; she was the mother of Onam."
1 Chronicles 2,"27. And the sons of Ram the firstborn of Jerahmeel were, Maaz, and Jamin, and Eker."
1 Chronicles 2,"28. And the sons of Onam were, Shammai, and Jada. And the sons of Shammai; Nadab and Abishur."
1 Chronicles 2,"29. And the name of the wife of Abishur was Abihail, and she bare him Ahban, and Molid."
1 Chronicles 2,"30. And the sons of Nadab; Seled, and Appaim: but Seled died without children."
1 Chronicles 2,31. And the sons of Appaim; Ishi. And the sons of Ishi; Sheshan. And the children of Sheshan; Ahlai.
1 Chronicles 2,"32. And the sons of Jada the brother of Shammai; Jether, and Jonathan: and Jether died without children."
1 Chronicles 2,"33. And the sons of Jonathan; Peleth, and Zaza. These were the sons of Jerahmeel."
1 Chronicles 2,"34. Now Sheshan had no sons, but daughters. And Sheshan had a servant, an Egyptian, whose name was Jarha."
1 Chronicles 2,35. And Sheshan gave his daughter to Jarha his servant to wife; and she bare him Attai.
1 Chronicles 2,"36. And Attai begat Nathan, and Nathan begat Zabad,"
1 Chronicles 2,"37. And Zabad begat Ephlal, and Ephlal begat Obed,"
1 Chronicles 2,"38. And Obed begat Jehu, and Jehu begat Azariah,"
1 Chronicles 2,"39. And Azariah begat Helez, and Helez begat Eleasah,"
1 Chronicles 2,"40. And Eleasah begat Sisamai, and Sisamai begat Shallum,"
1 Chronicles 2,"41. And Shallum begat Jekamiah, and Jekamiah begat Elishama."
1 Chronicles 2,"42. Now the sons of Caleb the brother of Jerahmeel were, Mesha his firstborn, which was the father of Ziph; and the sons of Mareshah the father of Hebron."
1 Chronicles 2,"43. And the sons of Hebron; Korah, and Tappuah, and Rekem, and Shema."
1 Chronicles 2,"44. And Shema begat Raham, the father of Jorkoam: and Rekem begat Shammai."
1 Chronicles 2,45. And the son of Shammai was Maon: and Maon was the father of Bethzur.
1 Chronicles 2,"46. And Ephah, Caleb's concubine, bare Haran, and Moza, and Gazez: and Haran begat Gazez."
1 Chronicles 2,"47. And the sons of Jahdai; Regem, and Jotham, and Gesham, and Pelet, and Ephah, and Shaaph."
1 Chronicles 2,"48. Maachah, Caleb's concubine, bare Sheber, and Tirhanah."
1 Chronicles 2,"49. She bare also Shaaph the father of Madmannah, Sheva the father of Machbenah, and the father of Gibea: and the daughter of Caleb was Achsa."
1 Chronicles 2,"50. These were the sons of Caleb the son of Hur, the firstborn of Ephratah; Shobal the father of Kirjathjearim."
1 Chronicles 2,"51. Salma the father of Bethlehem, Hareph the father of Bethgader."
1 Chronicles 2,"52. And Shobal the father of Kirjathjearim had sons; Haroeh, and half of the Manahethites."
1 Chronicles 2,"53. And the families of Kirjathjearim; the Ithrites, and the Puhites, and the Shumathites, and the Mishraites; of them came the Zareathites, and the Eshtaulites,"
1 Chronicles 2,"54. The sons of Salma; Bethlehem, and the Netophathites, Ataroth, the house of Joab, and half of the Manahethites, the Zorites."
1 Chronicles 2,"55. And the families of the scribes which dwelt at Jabez; the Tirathites, the Shimeathites, and Suchathites. These are the Kenites that came of Hemath, the father of the house of Rechab."
1 Chronicles 3,"1. Now these were the sons of David, which were born unto him in Hebron; the firstborn Amnon, of Ahinoam the Jezreelitess; the second Daniel, of Abigail the Carmelitess:"
1 Chronicles 3,"2. The third, Absalom the son of Maachah the daughter of Talmai king of Geshur: the fourth, Adonijah the son of Haggith:"
1 Chronicles 3,"3. The fifth, Shephatiah of Abital: the sixth, Ithream by Eglah his wife."
1 Chronicles 3,4. These six were born unto him in Hebron; and there he reigned seven years and six months: and in Jerusalem he reigned thirty and three years.
1 Chronicles 3,"5. And these were born unto him in Jerusalem; Shimea, and Shobab, and Nathan, and Solomon, four, of Bathshua the daughter of Ammiel:"
1 Chronicles 3,"6. Ibhar also, and Elishama, and Eliphelet,"
1 Chronicles 3,"7. And Nogah, and Nepheg, and Japhia,"
1 Chronicles 3,"8. And Elishama, and Eliada, and Eliphelet, nine."
1 Chronicles 3,"9. These were all the sons of David, beside the sons of the concubines, and Tamar their sister."
1 Chronicles 3,"10. And Solomon's son was Rehoboam, Abia his son, Asa his son, Jehoshaphat his son,"
1 Chronicles 3,"11. Joram his son, Ahaziah his son, Joash his son,"
1 Chronicles 3,"12. Amaziah his son, Azariah his son, Jotham his son,"
1 Chronicles 3,"13. Ahaz his son, Hezekiah his son, Manasseh his son,"
1 Chronicles 3,"14. Amon his son, Josiah his son."
1 Chronicles 3,"15. And the sons of Josiah were, the firstborn Johanan, the second Jehoiakim, the third Zedekiah, the fourth Shallum."
1 Chronicles 3,"16. And the sons of Jehoiakim: Jeconiah his son, Zedekiah his son."
1 Chronicles 3,"17. And the sons of Jeconiah; Assir, Salathiel his son,"
1 Chronicles 3,"18. Malchiram also, and Pedaiah, and Shenazar, Jecamiah, Hoshama, and Nedabiah."
1 Chronicles 3,"19. And the sons of Pedaiah were, Zerubbabel, and Shimei: and the sons of Zerubbabel; Meshullam, and Hananiah, and Shelomith their sister:"
1 Chronicles 3,"20. And Hashubah, and Ohel, and Berechiah, and Hasadiah, Jushabhesed, five."
1 Chronicles 3,"21. And the sons of Hananiah; Pelatiah, and Jesaiah: the sons of Rephaiah, the sons of Arnan, the sons of Obadiah, the sons of Shechaniah."
1 Chronicles 3,"22. And the sons of Shechaniah; Shemaiah: and the sons of Shemaiah; Hattush, and Igeal, and Bariah, and Neariah, and Shaphat, six."
1 Chronicles 3,"23. And the sons of Neariah; Elioenai, and Hezekiah, and Azrikam, three."
1 Chronicles 3,"24. And the sons of Elioenai were, Hodaiah, and Eliashib, and Pelaiah, and Akkub, and Johanan, and Dalaiah, and Anani, seven."
1 Chronicles 4,"1. The sons of Judah; Pharez, Hezron, and Carmi, and Hur, and Shobal."
1 Chronicles 4,"2. And Reaiah the son of Shobal begat Jahath; and Jahath begat Ahumai, and Lahad. These are the families of the Zorathites."
1 Chronicles 4,"3. And these were of the father of Etam; Jezreel, and Ishma, and Idbash: and the name of their sister was Hazelelponi:"
1 Chronicles 4,"4. And Penuel the father of Gedor, and Ezer the father of Hushah. These are the sons of Hur, the firstborn of Ephratah, the father of Bethlehem."
1 Chronicles 4,"5. And Ashur the father of Tekoa had two wives, Helah and Naarah."
1 Chronicles 4,"6. And Naarah bare him Ahuzam, and Hepher, and Temeni, and Haahashtari. These were the sons of Naarah."
1 Chronicles 4,"7. And the sons of Helah were, Zereth, and Jezoar, and Ethnan."
1 Chronicles 4,"8. And Coz begat Anub, and Zobebah, and the families of Aharhel the son of Harum."
1 Chronicles 4,"9. And Jabez was more honorable than his brethren: and his mother called his name Jabez, saying, Because I bare him with sorrow."
1 Chronicles 4,"10. And Jabez called on the God of Israel, saying, Oh that thou wouldest bless me indeed, and enlarge my coast, and that thine hand might be with me, and that thou wouldest keep me from evil, that it may not grieve me! And God granted him that which he requested."
1 Chronicles 4,"11. And Chelub the brother of Shuah begat Mehir, which was the father of Eshton."
1 Chronicles 4,"12. And Eshton begat Bethrapha, and Paseah, and Tehinnah the father of Irnahash. These are the men of Rechah."
1 Chronicles 4,"13. And the sons of Kenaz; Othniel, and Seraiah: and the sons of Othniel; Hathath."
1 Chronicles 4,"14. And Meonothai begat Ophrah: and Seraiah begat Joab, the father of the valley of Charashim; for they were craftsmen."
1 Chronicles 4,"15. And the sons of Caleb the son of Jephunneh; Iru, Elah, and Naam: and the sons of Elah, even Kenaz."
1 Chronicles 4,"16. And the sons of Jehaleleel; Ziph, and Ziphah, Tiria, and Asareel."
1 Chronicles 4,"17. And the sons of Ezra were, Jether, and Mered, and Epher, and Jalon: and she bare Miriam, and Shammai, and Ishbah the father of Eshtemoa."
1 Chronicles 4,"18. And his wife Jehudijah bare Jered the father of Gedor, and Heber the father of Socho, and Jekuthiel the father of Zanoah. And these are the sons of Bithiah the daughter of Pharaoh, which Mered took."
1 Chronicles 4,"19. And the sons of his wife Hodiah the sister of Naham, the father of Keilah the Garmite, and Eshtemoa the Maachathite."
1 Chronicles 4,"20. And the sons of Shimon were, Amnon, and Rinnah, Benhanan, and Tilon. And the sons of Ishi were, Zoheth, and Benzoheth."
1 Chronicles 4,"21. The sons of Shelah the son of Judah were, Er the father of Lecah, and Laadah the father of Mareshah, and the families of the house of them that wrought fine linen, of the house of Ashbea,"
1 Chronicles 4,"22. And Jokim, and the men of Chozeba, and Joash, and Saraph, who had the dominion in Moab, and Jashubilehem. And these are ancient things."
1 Chronicles 4,"23. These were the potters, and those that dwelt among plants and hedges: there they dwelt with the king for his work."
1 Chronicles 4,"24. The sons of Simeon were, Nemuel, and Jamin, Jarib, Zerah, and Shaul:"
1 Chronicles 4,"25. Shallum his son, Mibsam his son, Mishma his son."
1 Chronicles 4,"26. And the sons of Mishma; Hamuel his son, Zacchur his son, Shimei his son."
1 Chronicles 4,"27. And Shimei had sixteen sons and six daughters: but his brethren had not many children, neither did all their family multiply, like to the children of Judah."
1 Chronicles 4,"28. And they dwelt at Beersheba, and Moladah, and Hazarshual,"
1 Chronicles 4,"29. And at Bilhah, and at Ezem, and at Tolad,"
1 Chronicles 4,"30. And at Bethuel, and at Hormah, and at Ziklag,"
1 Chronicles 4,"31. And at Bethmarcaboth, and Hazarsusim, and at Bethbirei, and at Shaaraim. These were their cities unto the reign of David."
1 Chronicles 4,"32. And their villages were, Etam, and Ain, Rimmon, and Tochen, and Ashan, five cities:"
1 Chronicles 4,"33. And all their villages that were round about the same cities, unto Baal. These were their habitations, and their genealogy."
1 Chronicles 4,"34. And Meshobab, and Jamlech, and Joshah, the son of Amaziah,"
1 Chronicles 4,"35. And Joel, and Jehu the son of Josibiah, the son of Seraiah, the son of Asiel,"
1 Chronicles 4,"36. And Elioenai, and Jaakobah, and Jeshohaiah, and Asaiah, and Adiel, and Jesimiel, and Benaiah,"
1 Chronicles 4,"37. And Ziza the son of Shiphi, the son of Allon, the son of Jedaiah, the son of Shimri, the son of Shemaiah;"
1 Chronicles 4,38. These mentioned by their names were princes in their families: and the house of their fathers increased greatly.
1 Chronicles 4,"39. And they went to the entrance of Gedor, even unto the east side of the valley, to seek pasture for their flocks."
1 Chronicles 4,"40. And they found fat pasture and good, and the land was wide, and quiet, and peaceable; for they of Ham had dwelt there of old."
1 Chronicles 4,"41. And these written by name came in the days of Hezekiah king of Judah, and smote their tents, and the habitations that were found there, and destroyed them utterly unto this day, and dwelt in their rooms: because there was pasture there for their flocks."
1 Chronicles 4,"42. And some of them, even of the sons of Simeon, five hundred men, went to mount Seir, having for their captains Pelatiah, and Neariah, and Rephaiah, and Uzziel, the sons of Ishi."
1 Chronicles 4,"43. And they smote the rest of the Amalekites that were escaped, and dwelt there unto this day."
1 Chronicles 5,"1. Now the sons of Reuben the firstborn of Israel, (for he was the firstborn; but forasmuch as he defiled his father's bed, his birthright was given unto the sons of Joseph the son of Israel: and the genealogy is not to be reckoned after the birthright."
1 Chronicles 5,"2. For Judah prevailed above his brethren, and of him came the chief ruler; but the birthright was Joseph's:)"
1 Chronicles 5,"3. The sons, I say, of Reuben the firstborn of Israel were, Hanoch, and Pallu, Hezron, and Carmi."
1 Chronicles 5,"4. The sons of Joel; Shemaiah his son, Gog his son, Shimei his son,"
1 Chronicles 5,"5. Micah his son, Reaia his son, Baal his son,"
1 Chronicles 5,"6. Beerah his son, whom Tilgathpilneser king of Assyria carried away captive: he was prince of the Reubenites."
1 Chronicles 5,"7. And his brethren by their families, when the genealogy of their generations was reckoned, were the chief, Jeiel, and Zechariah,"
1 Chronicles 5,"8. And Bela the son of Azaz, the son of Shema, the son of Joel, who dwelt in Aroer, even unto Nebo and Baalmeon:"
1 Chronicles 5,9. And eastward he inhabited unto the entering in of the wilderness from the river Euphrates: because their cattle were multiplied in the land of Gilead.
1 Chronicles 5,"10. And in the days of Saul they made war with the Hagarites, who fell by their hand: and they dwelt in their tents throughout all the east land of Gilead."
1 Chronicles 5,"11. And the children of Gad dwelt over against them, in the land of Bashan unto Salcah:"
1 Chronicles 5,"12. Joel the chief, and Shapham the next, and Jaanai, and Shaphat in Bashan."
1 Chronicles 5,"13. And their brethren of the house of their fathers were, Michael, and Meshullam, and Sheba, and Jorai, and Jachan, and Zia, and Heber, seven."
1 Chronicles 5,"14. These are the children of Abihail the son of Huri, the son of Jaroah, the son of Gilead, the son of Michael, the son of Jeshishai, the son of Jahdo, the son of Buz;"
1 Chronicles 5,"15. Ahi the son of Abdiel, the son of Guni, chief of the house of their fathers."
1 Chronicles 5,"16. And they dwelt in Gilead in Bashan, and in her towns, and in all the suburbs of Sharon, upon their borders."
1 Chronicles 5,"17. All these were reckoned by genealogies in the days of Jotham king of Judah, and in the days of Jeroboam king of Israel."
1 Chronicles 5,"18. The sons of Reuben, and the Gadites, and half the tribe of Manasseh, of valiant men, men able to bear buckler and sword, and to shoot with bow, and skillful in war, were four and forty thousand seven hundred and threescore, that went out to the war."
1 Chronicles 5,"19. And they made war with the Hagarites, with Jetur, and Nephish, and Nodab."
1 Chronicles 5,"20. And they were helped against them, and the Hagarites were delivered into their hand, and all that were with them: for they cried to God in the battle, and he was intreated of them; because they put their trust in him."
1 Chronicles 5,"21. And they took away their cattle; of their camels fifty thousand, and of sheep two hundred and fifty thousand, and of asses two thousand, and of men an hundred thousand."
1 Chronicles 5,"22. For there fell down many slain, because the war was of God. And they dwelt in their steads until the captivity."
1 Chronicles 5,"23. And the children of the half tribe of Manasseh dwelt in the land: they increased from Bashan unto Baalhermon and Senir, and unto mount Hermon."
1 Chronicles 5,"24. And these were the heads of the house of their fathers, even Epher, and Ishi, and Eliel, and Azriel, and Jeremiah, and Hodaviah, and Jahdiel, mighty men of valor, famous men, and heads of the house of their fathers."
1 Chronicles 5,"25. And they transgressed against the God of their fathers, and went a whoring after the gods of the people of the land, whom God destroyed before them."
1 Chronicles 5,"26. And the God of Israel stirred up the spirit of Pul king of Assyria, and the spirit of Tilgathpilneser king of Assyria, and he carried them away, even the Reubenites, and the Gadites, and the half tribe of Manasseh, and brought them unto Halah, and Habor, and Hara, and to the river Gozan, unto this day."
1 Chronicles 6,"1. The sons of Levi; Gershon, Kohath, and Merari."
1 Chronicles 6,"2. And the sons of Kohath; Amram, Izhar, and Hebron, and Uzziel."
1 Chronicles 6,"3. And the children of Amram; Aaron, and Moses, and Miriam. The sons also of Aaron; Nadab, and Abihu, Eleazar, and Ithamar."
1 Chronicles 6,"4. Eleazar begat Phinehas, Phinehas begat Abishua,"
1 Chronicles 6,"5. And Abishua begat Bukki, and Bukki begat Uzzi,"
1 Chronicles 6,"6. And Uzzi begat Zerahiah, and Zerahiah begat Meraioth,"
1 Chronicles 6,"7. Meraioth begat Amariah, and Amariah begat Ahitub,"
1 Chronicles 6,"8. And Ahitub begat Zadok, and Zadok begat Ahimaaz,"
1 Chronicles 6,"9. And Ahimaaz begat Azariah, and Azariah begat Johanan,"
1 Chronicles 6,"10. And Johanan begat Azariah, (he it is that executed the priest's office in the temple that Solomon built in Jerusalem:)"
1 Chronicles 6,"11. And Azariah begat Amariah, and Amariah begat Ahitub,"
1 Chronicles 6,"12. And Ahitub begat Zadok, and Zadok begat Shallum,"
1 Chronicles 6,"13. And Shallum begat Hilkiah, and Hilkiah begat Azariah,"
1 Chronicles 6,"14. And Azariah begat Seraiah, and Seraiah begat Jehozadak,"
1 Chronicles 6,"15. And Jehozadak went into captivity, when the LORD carried away Judah and Jerusalem by the hand of Nebuchadnezzar."
1 Chronicles 6,"16. The sons of Levi; Gershom, Kohath, and Merari."
1 Chronicles 6,"17. And these be the names of the sons of Gershom; Libni, and Shimei."
1 Chronicles 6,"18. And the sons of Kohath were, Amram, and Izhar, and Hebron, and Uzziel."
1 Chronicles 6,"19. The sons of Merari; Mahli, and Mushi. And these are the families of the Levites according to their fathers."
1 Chronicles 6,"20. Of Gershom; Libni his son, Jahath his son, Zimmah his son,"
1 Chronicles 6,"21. Joah his son, Iddo his son, Zerah his son, Jeaterai his son."
1 Chronicles 6,"22. The sons of Kohath; Amminadab his son, Korah his son, Assir his son,"
1 Chronicles 6,"23. Elkanah his son, and Ebiasaph his son, and Assir his son,"
1 Chronicles 6,"24. Tahath his son, Uriel his son, Uzziah his son, and Shaul his son."
1 Chronicles 6,"25. And the sons of Elkanah; Amasai, and Ahimoth."
1 Chronicles 6,"26. As for Elkanah: the sons of Elkanah; Zophai his son, and Nahath his son,"
1 Chronicles 6,"27. Eliab his son, Jeroham his son, Elkanah his son."
1 Chronicles 6,"28. And the sons of Samuel; the firstborn Vashni, and Abiah."
1 Chronicles 6,"29. The sons of Merari; Mahli, Libni his son, Shimei his son, Uzza his son,"
1 Chronicles 6,"30. Shimea his son, Haggiah his son, Asaiah his son."
1 Chronicles 6,"31. And these are they whom David set over the service of song in the house of the LORD, after that the ark had rest."
1 Chronicles 6,"32. And they ministered before the dwelling place of the tabernacle of the congregation with singing, until Solomon had built the house of the LORD in Jerusalem: and then they waited on their office according to their order."
1 Chronicles 6,"33. And these are they that waited with their children. Of the sons of the Kohathites: Heman a singer, the son of Joel, the son of Shemuel,"
1 Chronicles 6,"34. The son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah,"
1 Chronicles 6,"35. The son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai,"
1 Chronicles 6,"36. The son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah,"
1 Chronicles 6,"37. The son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah,"
1 Chronicles 6,"38. The son of Izhar, the son of Kohath, the son of Levi, the son of Israel."
1 Chronicles 6,"39. And his brother Asaph, who stood on his right hand, even Asaph the son of Berachiah, the son of Shimea,"
1 Chronicles 6,"40. The son of Michael, the son of Baaseiah, the son of Malchiah,"
1 Chronicles 6,"41. The son of Ethni, the son of Zerah, the son of Adaiah,"
1 Chronicles 6,"42. The son of Ethan, the son of Zimmah, the son of Shimei,"
1 Chronicles 6,"43. The son of Jahath, the son of Gershom, the son of Levi."
1 Chronicles 6,"44. And their brethren the sons of Merari stood on the left hand: Ethan the son of Kishi, the son of Abdi, the son of Malluch,"
1 Chronicles 6,"45. The son of Hashabiah, the son of Amaziah, the son of Hilkiah,"
1 Chronicles 6,"46. The son of Amzi, the son of Bani, the son of Shamer,"
1 Chronicles 6,"47. The son of Mahli, the son of Mushi, the son of Merari, the son of Levi."
1 Chronicles 6,48. Their brethren also the Levites were appointed unto all manner of service of the tabernacle of the house of God.
1 Chronicles 6,"49. But Aaron and his sons offered upon the altar of the burnt offering, and on the altar of incense, and were appointed for all the work of the place most holy, and to make an atonement for Israel, according to all that Moses the servant of God had commanded."
1 Chronicles 6,"50. And these are the sons of Aaron; Eleazar his son, Phinehas his son, Abishua his son,"
1 Chronicles 6,"51. Bukki his son, Uzzi his son, Zerahiah his son,"
1 Chronicles 6,"52. Meraioth his son, Amariah his son, Ahitub his son,"
1 Chronicles 6,"53. Zadok his son, Ahimaaz his son."
1 Chronicles 6,"54. Now these are their dwelling places throughout their castles in their coasts, of the sons of Aaron, of the families of the Kohathites: for theirs was the lot."
1 Chronicles 6,"55. And they gave them Hebron in the land of Judah, and the suburbs thereof round about it."
1 Chronicles 6,"56. But the fields of the city, and the villages thereof, they gave to Caleb the son of Jephunneh."
1 Chronicles 6,"57. And to the sons of Aaron they gave the cities of Judah, namely, Hebron, the city of refuge, and Libnah with her suburbs, and Jattir, and Eshtemoa, with their suburbs,"
1 Chronicles 6,"58. And Hilen with her suburbs, Debir with her suburbs,"
1 Chronicles 6,"59. And Ashan with her suburbs, and Bethshemesh with her suburbs:"
1 Chronicles 6,"60. And out of the tribe of Benjamin; Geba with her suburbs, and Alemeth with her suburbs, and Anathoth with her suburbs. All their cities throughout their families were thirteen cities."
1 Chronicles 6,"61. And unto the sons of Kohath, which were left of the family of that tribe, were cities given out of the half tribe, namely, out of the half tribe of Manasseh, by lot, ten cities."
1 Chronicles 6,"62. And to the sons of Gershom throughout their families out of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the tribe of Manasseh in Bashan, thirteen cities."
